station_id,latitude,longitude,population,capacity,zone_id,Acres,Persons Per Acre ,capacity per 1000
319,40.711066,-74.009447,4479,33,1001300,77.09,58.1,7.37
439,40.7262807,-73.98978041,9237,39,1003800,50.01,184.7,4.22
526,40.74765947,-73.98490707,4319,40,1007400,43.02,100.4,9.26
3474,40.7252557,-74.00412083,2524,33,1004700,40.92,61.7,13.07
379,40.749156,-73.9916,1116,42,1010100,43.37,25.7,37.63
3232,40.68962189,-73.98304269,390,31,3003700,41.42,9.4,79.49
377,40.72243797,-74.00566443,2447,47,1003700,101.28,24.2,19.21
2010,40.72165481,-74.00234737,2524,39,1004700,40.92,61.7,15.45
3082,40.71167351,-73.95141312,4332,25,3051300,64.08,67.6,5.77
3461,40.71485151,-74.01122332,6040,33,1002100,59.99,100.7,5.46
173,40.76068327,-73.98452729,2719,51,1012500,43.06,63.1,18.76
3418,40.6750207,-73.97111473,5036,33,3015900,61.98,81.3,6.55
467,40.68312489,-73.97895137,2159,34,3012901,33.83,63.8,15.75
3435,40.718822,-73.99596,7817,45,1004100,47.31,165.2,5.76
3687,40.74322681,-73.97449784,8871,59,1007000,43.82,202.4,6.65
350,40.71559509,-73.9870295,3005,28,1001401,23.11,130,9.32
346,40.73652889,-74.00618026,4442,27,1007900,72.48,61.3,6.08
317,40.72453734,-73.98185424,8234,54,1003200,53.79,153.1,6.56
334,40.74238787,-73.99726235,6338,31,1008700,40.88,155,4.89
487,40.73314259,-73.97573881,4511,34,1006000,31.48,143.3,7.54
291,40.713126,-73.984844,7316,20,1000202,73.79,99.1,2.73
3327,40.7877214,-73.94728331,6127,27,1016400,43.83,139.8,4.41
237,40.73047309,-73.98672378,8651,19,1004000,44.07,196.3,2.2
236,40.7284186,-73.98713956,9237,47,1003800,50.01,184.7,5.09
454,40.75455731,-73.96592976,7316,34,1009800,43.75,167.2,4.65
388,40.74971775,-74.00295035,1945,35,1009900,248.86,7.8,17.99
3161,40.78018397,-73.97728533,6437,59,1016100,38.48,167.3,9.17
3294,40.7835016,-73.955327,5437,38,1015002,31.03,175.2,6.99
401,40.72019576,-73.98997825,8660,42,1001800,55.02,157.4,4.85
394,40.72521311,-73.97768752,7114,34,1002800,45.4,156.7,4.78
3155,40.76440023,-73.96648977,2397,39,1011402,24.41,98.2,16.27
3314,40.7937704,-73.971888,8667,32,1018300,55.3,156.7,3.69
2003,40.73381219,-73.98054421,16538,54,1004400,101.42,163.1,3.27
3282,40.78307,-73.95939,25,38,1014300,726.47,0,1520
435,40.74173969,-73.99415556,6338,50,1008700,40.88,155,7.89
2021,40.75929124,-73.98859651,8554,43,1012100,44.02,194.3,5.03
472,40.7457121,-73.98194829,8664,55,1007200,43.25,200.3,6.35
393,40.72299208,-73.97995466,3772,37,1002601,26.2,144,9.81
366,40.693261,-73.968896,1411,33,3018700,19.98,70.6,23.39
